Document Title,Application Number,Document Type,Originating Body,Date,Conclusion
CASE OF GANI v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,61800/08,HJUDTUR,Court (Third Section),19/02/2013,Remainder inadmissible;No violation of Article 6+6-3-d - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-d - Examination of witnesses;Article 6 - Right to a fair trial)
CASE OF GARCÍA MATEOS v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,38285/09,HJUDTUR,Court (Third Section),19/02/2013,Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Violation of Article 14+6-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 6-1 - Access to court;Article 6 - Enforcement proceedings;Right to a fair trial);Non-pecuniary damage - award
AFFAIRE EUSKO ABERTZALE EKINTZA – ACCION NACIONALISTA VASCA (EAE-ANV) c. ESPAGNE,40959/09,HFJUD,Court (Third Section),15/01/2013,Non-violation de l'article 11 - Liberté de réunion et d'association (Article 11-1 - Liberté d'association)
CASE OF EUSKO ABERTZALE EKINTZA – ACCION NACIONALISTA VASCA (EAE-ANV) v. SPAIN,40959/09,HEJUD,Court (Third Section),15/01/2013,No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association)
CASE OF EUSKO ABERTZALE EKINTZA - ACCION NACIONALISTA VASCA (EAE-ANV) v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,40959/09,HJUDSPA,Court (Third Section),15/01/2013,No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association)
CASE OF EUSKO ABERTZALE EKINTZA - ACCION NACIONALISTA VASCA (EAE-ANV) v. SPAIN - [Czech Translation] summary by the Ministry of Justice of the Czech Republic,40959/09,HJUDCZE,Court (Third Section),15/01/2013,No violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of association)
AFFAIRE OTAMENDI EGIGUREN c. ESPAGNE,47303/08,HFJUD,Court (Third Section),16/10/2012,Violation de l'article 3 - Interdiction de la torture (Article 3 - Enquête efficace) (Volet procédural)
CASE OF OTAMENDI EGIGUREN v. SPAIN,47303/08,HEJUD,Court (Third Section),16/10/2012,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect)
CASE OF OTAMENDI EGIGUREN v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,47303/08,HJUDSPA,Court (Third Section),16/10/2012,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect)
CASE OF B.S. v. SPAIN - [Arabic translation] legal summary by the EU - CoE South Programme II ,47159/08,HJUDARA,Court (Third Section),24/07/2012,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 14+3 - Prohibition of discrimination (Article 14 - Discrimination) (Article 3 - Degrading treatment;Inhuman treatment;Prohibition of torture);Non-pecuniary damage - award
CASE OF B.S. v. SPAIN - [Armenian Translation] legal summary by Hasmik Chobanyan and the COE Human Rights Trust Fund,47159/08,HJUDARM,Court (Third Section),24/07/2012,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 14+3 - Prohibition of discrimination (Article 14 - Discrimination) (Article 3 - Degrading treatment;Inhuman treatment;Prohibition of torture);Non-pecuniary damage - award
AFFAIRE B.S. c. ESPAGNE,47159/08,HFJUD,Court (Third Section),24/07/2012,Violation de l'article 3 - Interdiction de la torture (Article 3 - Enquête effective) (Volet procédural);Non-violation de l'article 3 - Interdiction de la torture (Article 3 - Traitement dégradant;Traitement inhumain) (Volet matériel);Violation de l'article 14+3 - Interdiction de la discrimination (Article 14 - Discrimination) (Article 3 - Traitement dégradant;Traitement inhumain;Interdiction de la torture);Préjudice moral - réparation
CASE OF B.S. v. SPAIN,47159/08,HEJUD,Court (Third Section),24/07/2012,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 14+3 - Prohibition of discrimination (Article 14 - Discrimination) (Article 3 - Degrading treatment;Inhuman treatment;Prohibition of torture);Non-pecuniary damage - award
CASE OF B.S. v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,47159/08,HJUDSPA,Court (Third Section),24/07/2012,Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 14+3 - Prohibition of discrimination (Article 14 - Discrimination) (Article 3 - Degrading treatment;Inhuman treatment;Prohibition of torture);Non-pecuniary damage - award
AFFAIRE DEL RÍO PRADA c. ESPAGNE,42750/09,HFJUD,Court (Third Section),10/07/2012,Exception préliminaire jointe au fond et rejetée (Article 35-3 - Ratione materiae);Partiellement irrecevable;Violation de l'article 7 - Pas de peine sans loi (Article 7-1 - Peine plus forte;Nulla poena sine lege;Rétroactivité);Violation de l'article 5 - Droit à la liberté et à la sûreté (Article 5-1 - Arrestation ou détention régulière);Etat défendeur tenu de prendre des mesures individuelles (Article 46-2 - Mesures individuelles);Préjudice moral - réparation
CASE OF DEL RÍO PRADA v. SPAIN,42750/09,HEJUD,Court (Third Section),10/07/2012,Preliminary objection joined to merits and dismissed (Article 35-3 - Ratione materiae);Remainder inadmissible;Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Ukrainian Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDUKR,Court (Third Section),10/07/2012,Preliminary objection joined to merits and dismissed (Article 35-3 - Ratione materiae);Remainder inadmissible;Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Armenian Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDARM,Court (Third Section),10/07/2012,Preliminary objection joined to merits and dismissed (Article 35-3 - Ratione materiae);Remainder inadmissible;Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
AFFAIRE MARTÍNEZ MARTÍNEZ ET PINO MANZANO c. ESPAGNE,61654/08,HFJUD,Court (Third Section),03/07/2012,Non-violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect de la vie familiale;Respect du domicile;Respect de la vie privée)
CASE OF MARTÍNEZ MARTÍNEZ AND PINO MANZANO v. SPAIN,61654/08,HEJUD,Court (Third Section),03/07/2012,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life;Respect for home;Respect for private life)
CASE OF MARTINEZ MARTINEZ AND PINO MANZANO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,61654/08,HJUDSPA,Court (Third Section),03/07/2012,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life;Respect for home;Respect for private life)
CASE OF MARTINEZ MARTINEZ AND PINO MANZANO v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),61654/08,HJUDGER,Court (Third Section),03/07/2012,No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life;Respect for home;Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,56030/07,HJUDSPA,Court (Third Section),15/05/2012,Remainder inadmissible;No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [Romanian Translation] by the SCM Romania and IER,56030/07,HJUDRUM,Court (Third Section),15/05/2012,Remainder inadmissible;No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),56030/07,HJUDGER,Court (Third Section),15/05/2012,Remainder inadmissible;No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF FERNÁNDEZ MARTÍNEZ v. SPAIN,56030/07,HEJUD,Court (Third Section),15/05/2012,Remainder inadmissible;No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
AFFAIRE FERNÁNDEZ MARTÍNEZ c. ESPAGNE,56030/07,HFJUD,Court (Third Section),15/05/2012,Partiellement irrecevable;Non-violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect de la vie privée)
AFFAIRE K.A.B. c. ESPAGNE,59819/08,HFJUD,Court (Third Section),10/04/2012,Exception préliminaire jointe au fond et rejetée (Article 35-1 - Epuisement des voies de recours internes);Partiellement irrecevable;Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8 - Obligations positives;Article 8-1 - Respect de la vie privée);Préjudice moral - réparation
CASE OF K.A.B. v. SPAIN,59819/08,HEJUD,Court (Third Section),10/04/2012,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);Non-pecuniary damage - award
CASE OF K.A.B. v. SPAIN - [Spanish Translation] - by the Spanish Ministry of Justice,59819/08,HJUDSPA,Court (Third Section),10/04/2012,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage)
AFFAIRE MANZANAS MARTIN c. ESPAGNE,17966/10,HFJUD,Court (Third Section),03/04/2012,Violation de l'article 14+P1-1 - Interdiction de la discrimination (Article 14 - Discrimination) (article 1 al. 1 du Protocole n° 1 - Respect des biens;article 1 du Protocole n° 1 - Protection de la propriété);Dommage matériel - décision réservée;Préjudice moral - réparation
CASE OF MANZANAS MARTIN v. SPAIN,17966/10,HEJUD,Court (Third Section),03/04/2012,Violation of Article 14+P1-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Article 1 of Protocol No. 1 - Protection of property);Pecuniary damage - reserved;Non-pecuniary damage - award
CASE OF MANZANAS MARTIN v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,17966/10,HJUDSPA,Court (Third Section),03/04/2012,Violation of Article 14+P1-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Article 1 of Protocol No. 1 - Protection of property);Pecuniary damage - reserved (Article 41 - Pecuniary damage);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage)
CASE OF MANZANAS MARTIN v. SPAIN - [Russian Translation] legal summary by the COE/ECHR,17966/10,HJUDRUS,Court (Third Section),03/04/2012,Violation of Article 14+P1-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Article 1 of Protocol No. 1 - Protection of property);Pecuniary damage - reserved;Non-pecuniary damage - award
AFFAIRE SERRANO CONTRERAS c. ESPAGNE,49183/08,HFJUD,Court (Third Section),20/03/2012,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable;Délai raisonnable)
CASE OF SERRANO CONTRERAS v. SPAIN,49183/08,HEJUD,Court (Third Section),20/03/2012,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing;Reasonable time)
CASE OF SERRANO CONTRERAS v. SPAIN - (Spanish Translation] by the Spanish Ministry of Justice,49183/08,HJUDSPA,Court (Third Section),20/03/2012,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing;Reasonable time)
AFFAIRE ALONY KATE c. ESPAGNE,5612/08,HFJUD,Court (Third Section),17/01/2012,Partiellement irrecevable;Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Tribunal impartial);Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable;Procédure contradictoire);Préjudice moral - réparation
CASE OF ALONY KATE v. SPAIN,5612/08,HEJUD,Court (Third Section),17/01/2012,Remainder inadmissible;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing;Adversarial trial);Non-pecuniary damage - award
CASE OF ALONY KATE v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,5612/08,HJUDSPA,Court (Third Section),17/01/2012,Remainder inadmissible;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing;Adversarial trial);Non-pecuniary damage - award
AFFAIRE VALBUENA REDONDO c. ESPAGNE,21460/08,HFJUD,Court (Third Section),13/12/2011,Violation de l'art. 6-1
CASE OF VALBUENA REDONDO v. SPAIN,21460/08,HEJUD,Court (Third Section),13/12/2011,Violation of Art. 6-1
CASE OF VALBUENA REDONDO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,21460/08,HJUDSPA,Court (Third Section),13/12/2011,Violation of Art. 6-1
AFFAIRE LACADENA CALERO c. ESPAGNE,23002/07,HFJUD,Court (Third Section),22/11/2011,Partiellement irrecevable;Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable;Procédure contradictoire);Préjudice moral - réparation (Article 41 - Préjudice moral;Satisfaction équitable)
CASE OF LACADENA CALERO v. SPAIN,23002/07,HEJUD,Court (Third Section),22/11/2011,Remainder inadmissible;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing;Adversarial trial);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF LACADENA CALERO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,23002/07,HJUDSPA,Court (Third Section),22/11/2011,Remainder inadmissible;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing;Adversarial trial);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
AFFAIRE ALMENARA ALVAREZ c. ESPAGNE,16096/08,HFJUD,Court (Third Section),25/10/2011,Violation de l'art. 6-1;Partiellement irrecevable;Dommage matériel - demande rejetée;Préjudice moral - réparation
CASE OF ALMENARA ALVAREZ v. SPAIN,16096/08,HEJUD,Court (Third Section),25/10/2011,Violation of Art. 6-1;Remainder inadmissible;Pecuniary damage - claim dismissed;Non-pecuniary damage - award
CASE OF ALMENARA ALVAREZ v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,16096/08,HJUDSPA,Court (Third Section),25/10/2011,Violation of Art. 6-1;Remainder inadmissible;Pecuniary damage - claim dismissed;Non-pecuniary damage - award
AFFAIRE MARTINEZ MARTINEZ c. ESPAGNE,21532/08,HFJUD,Court (Third Section),18/10/2011,Violation de l'art. 8
CASE OF MARTINEZ MARTINEZ v. SPAIN,21532/08,HEJUD,Court (Third Section),18/10/2011,Violation of Art. 8
CASE OF MARTINEZ MARTINEZ v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,21532/08,HJUDSPA,Court (Third Section),18/10/2011,Violation of Art. 8
AFFAIRE ORTUNO ORTUNO c. ESPAGNE,30350/07,HFJUD,Court (Third Section),27/09/2011,Violation de l'art. 6-1
CASE OF ORTUNO ORTUNO v. SPAIN,30350/07,HEJUD,Court (Third Section),27/09/2011,Violation of Art. 6-1
CASE OF ORTUÑO ORTUÑO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,30350/07,HJUDSPA,Court (Third Section),27/09/2011,Violation of Art. 6-1
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Croatian Translation] by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDHRV,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Russian Translation] legal summary by the COE/ECHR,28955/06;28957/06;28959/06;28964/06,HJUDRUS,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Macedonian Translation] by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDMAC,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Armenian Translation] by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDARM,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Montenegrin Translation] legal summary by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDMNE,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Ukrainian Translation] by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDUKR,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Turkish Translation] legal summary by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDTUR,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Georgian Translation] legal summary by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDGEO,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO  SÁNCHEZ AND OTHERS v. SPAIN - [Armenian Translation] legal summary by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDARM,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO  SÁNCHEZ AND OTHERS v. SPAIN - [Romanian Translation] by the SCM Romania and IER,28955/06;28957/06;28959/06;28964/06,HJUDRUM,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Macedonian Translation] legal summary by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDMAC,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO  SÁNCHEZ AND OTHERS v. SPAIN - [Georgian Translation] by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDGEO,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Bulgarian Translation] by the COE/ECHR,28955/06;28957/06;28959/06;28964/06,HJUDBUL,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO  SÁNCHEZ AND OTHERS v. SPAIN - [Spanish Translation] by the COE/ECHR and Thomson Reuters Aranzadi ,28955/06;28957/06;28959/06;28964/06,HJUDSPA,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Ukrainian Translation] legal summary by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDUKR,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Romanian Translation] legal summary by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDRUM,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Albanian Translation] by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDALB,Court (Grand Chamber),12/09/2011,No violation of Art. 10
AFFAIRE PALOMO SÁNCHEZ ET AUTRES c. ESPAGNE,28955/06;28957/06;28959/06;28964/06,HFJUD,Court (Grand Chamber),12/09/2011,Non-violation de l'art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN,28955/06;28957/06;28959/06;28964/06,HEJUD,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Icelandic Translation] summary by the Institute of Human Rights at the University of Iceland ,28955/06;28957/06;28959/06;28964/06,HJUDICE,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),28955/06;28957/06;28959/06;28964/06,HJUDGER,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Azerbaijani Translation] by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDAZE,Court (Grand Chamber),12/09/2011,No violation of Art. 10
CASE OF PALOMO SÁNCHEZ AND OTHERS v. SPAIN - [Azerbaijani Translation] legal summary by the COE Human Rights Trust Fund,28955/06;28957/06;28959/06;28964/06,HJUDAZE,Court (Grand Chamber),12/09/2011,No violation of Art. 10
AFFAIRE LIZASO AZCONOBIETA c. ESPAGNE - [Spanish Translation] by the Spanish Ministry of Justice,28834/08,HJUDSPA,Court (Third Section),28/06/2011,Violation de l'art. 6-2;Préjudice moral - réparation
AFFAIRE TENDAM c. ESPAGNE,25720/05,HFJUD,Court (Third Section),28/06/2011,
CASE OF TENDAM v. SPAIN,25720/05,HEJUD,Court (Third Section),28/06/2011,
AFFAIRE LIZASO AZCONOBIETA c. ESPAGNE,28834/08,HFJUD,Court (Third Section),28/06/2011,Violation de l'art. 6-2;Préjudice moral - réparation
CASE OF LIZASO AZCONOBIETA v. SPAIN,28834/08,HEJUD,Court (Third Section),28/06/2011,Violation of Art. 6-2;Non-pecuniary damage - award
CASE OF TENDAM v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,25720/05,HJUDSPA,Court (Third Section),28/06/2011,
AFFAIRE RUSPOLI MORENES c. ESPAGNE,28979/07,HFJUD,Court (Third Section),28/06/2011,Non-violation de P1-1
CASE OF RUSPOLI MORENES v. SPAIN,28979/07,HEJUD,Court (Third Section),28/06/2011,No violation of P1-1
CASE OF RUSPOLI MORENES v. SPAIN - [Icelandic Translation] summary by the Institute of Human Rights at the University of Iceland ,28979/07,HJUDICE,Court (Third Section),28/06/2011,No violation of P1-1
CASE OF RUSPOLI MORENES v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,28979/07,HJUDSPA,Court (Third Section),28/06/2011,No violation of P1-1
CASE OF SALECK BARDI v. SPAIN,66167/09,HEJUD,Court (Third Section),24/05/2011,Preliminary objection dismissed (non-exhaustion of domestic remedies);Violation of Art. 8;Non-pecuniary damage - award
AFFAIRE SALECK BARDI c. ESPAGNE,66167/09,HFJUD,Court (Third Section),24/05/2011,Exception préliminaire rejetée (non-épuisement des voies de recours internes);Violation de l'art. 8;Préjudice moral - réparation
CASE OF SALECK BARDI v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,66167/09,HJUDSPA,Court (Third Section),24/05/2011,Preliminary objection dismissed (non-exhaustion of domestic remedies);Violation of Art. 8;Non-pecuniary damage - award
AFFAIRE OTEGI MONDRAGON c. ESPAGNE,2034/07,HFJUD,Court (Third Section),15/03/2011,Violation de l'art. 10;Dommage matériel - demande rejetée;Préjudice moral - réparation
CASE OF OTEGI MONDRAGON v. SPAIN,2034/07,HEJUD,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,2034/07,HJUDSPA,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Russian Translation] legal summary by the COE/ECHR,2034/07,HJUDRUS,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Serbian Translation] by the COE Human Rights Trust Fund,2034/07,HJUDSRP,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Montenegrin Translation] legal summary by the COE Human Rights Trust Fund,2034/07,HJUDMNE,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Azerbaijani Translation] summary by the COE Human Rights Trust Fund,2034/07,HJUDAZE,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Romanian Translation] legal summary by the COE Human Rights Trust Fund,2034/07,HJUDRUM,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Turkish Translation] legal summary by the COE Human Rights Trust Fund,2034/07,HJUDTUR,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Georgian Translation] summary by the COE Human Rights Trust Fund,2034/07,HJUDGEO,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Turkish Translation] by the COE Human Rights Trust Fund,2034/07,HJUDTUR,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Armenian Translation] legal summary by the COE Human Rights Trust Fund,2034/07,HJUDARM,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Macedonian Translation] legal summary by the COE Human Rights Trust Fund,2034/07,HJUDMAC,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [Icelandic Translation] summary by the Institute of Human Rights at the University of Iceland ,2034/07,HJUDICE,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
CASE OF OTEGI MONDRAGON v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),2034/07,HJUDGER,Court (Third Section),15/03/2011,Violation of Art. 10;Pecuniary damage - claim dismissed;Non pecuniary damage - award
AFFAIRE BERISTAIN UKAR c. ESPAGNE,40351/05,HFJUD,Court (Third Section),08/03/2011,Violation de l'art. 3 (volet procédural);Non-violation de l'art. 3 (volet matériel)
CASE OF BERISTAIN UKAR v. SPAIN,40351/05,HEJUD,Court (Third Section),08/03/2011,Violation of Art. 3 (procedural aspect);No violation of Art. 3 (substantive aspect)
