word,n,p,username,rank
barcelona,781,2.993598834757944,jaumecollboni,1
avui,30,1.4822134387351777,xescoviaplana,1
gràcies,91,0.8380917296002948,raquelsans,1
barcelona,9,1.3533834586466165,jocafeijoo,1
canarias,90,1.687289088863892,elenamanez,1
seguretat,102,1.5897755610972568,miquelbuch,1
avui,58,0.5051824753941294,civitimarti,1
gracias,63,2.088859416445623,bea_fanjul,1
granada,47,0.7208588957055215,claraaguilera7,1
pp,138,1.4906027219701878,pablosaezam,1
igualdad,26,1.021209740769835,beamcarrillo,1
ibiza,28,1.5651201788708775,patriciadlheras,1
anys,7,0.5942275042444821,ferranpedret,1
catalunya,5,1.392757660167131,tionroquer,1
eth,70,1.030169242089772,geli_anna,1
sabadell,68,1.2195121951219512,polgibert,1
🤦‍♂️😂😂😂😂😂,1,20,czambranogr,1
catalunya,86,0.8056206088992974,ecampdepadros,1
españa,11,3.021978021978022,ariagonagp,1
valència,3069,1.4542818150801775,diarilaveu_,1
ahorasi,61,2.568421052631579,caballerohelena,1
♥️,158,2.223473121305939,afernb,1
vox,37,1.7909002904162634,mestremanuel,1
catalunya,26,0.615530303030303,arnauramirez,1
sempre,47,0.9892654178067775,perearagones,1
gobierno,77,0.6594159458765094,agarzon,1
españa,138,1.2460496613995486,carmenriolobos,1
fet,15,0.9683666881859263,pilarvallugera,1
eta,7,3.5897435897435894,jagirretxea,1
abrazo,13,2.6,maialenfdez,1
españa,31,1.427255985267035,daniserranopp,1
http//wwwelpuntavuicat/en-temps-realhtml …,11958,3.0012574259662226,elpuntavui,1
españa,310,1.5443630747770638,albert_rivera,1
mujeres,55,1.973448152134912,lauraberja86,1
barcelona,4018,0.5904672891702597,elperiodico,1
españa,52,1.1693276366089498,edurneuriarte,1
tarragona,28,0.9569377990430622,ismael_cortesg,1
canarias,214,3.224348350158204,pedroquevedoit,1
gràcies,395,3.7802660541678628,carlescampuzano,1
gracias,13,0.966542750929368,pedronavarrol,1
balears,68,0.5601317957166392,perejoanpons,1
!!!,6,11.538461538461538,mlosadacs,1
españa,59,2.2416413373860182,herrerobono,1
españa,167,0.8184669672613214,marcosdequinto,1
años,2406,0.5964998400904419,elmundoes,1
barcelona,165,1.6495051484554633,ernestmaragall,1
!,1,3.8461538461538463,narcis_clara,1
catalanes,2,1.3245033112582782,marinabs_cs,1
justícia,26,1.4332965821389196,genisboadella,1
📰,86,2.931152010906612,mariscalzabala,1
presó,119,2.7457314259344714,jcuixart,1
psoe,141,1.0932775063968365,eselkaos,1
avui,34,0.8188824662813102,aliciarll,1
judicitv3catràdio,3222,0.63130793602276,324cat,1
avui,10,0.8888888888888888,irenefornos,1
españa,2212,0.6095897394913288,voz_populi,1
valorseguro,223,1.7516298798209096,ppcatalunya,1
catalunya,34,0.6530925854782943,ftenc,1
palos,129,1.2581683409733737,cromeroher,1
melilla,70,1.192707445902198,otazu35,1
gracias,122,3.825650674192537,carmenmonton,1
ávila,306,1.956897103024877,aliciagarcia_av,1
gràcies,31,0.8337816030123723,peppuigiboix,1
gente,23,1.029082774049217,martinavelardeg,1
trump,17,0.9433962264150944,javiercerqueir4,1
avui,27,1.2317518248175183,lluisallop,1
dl,37,1.4937424303593057,immagallardo,1
gràcies,25,1.5595757953836558,marionaid,1
recordamos,1,100,ppopular,1
freetothom,134,1.946542707728065,mncsls,1
girona,3647,3.0229936506357653,diaridegirona,1
vox,117,2.228147019615311,joaquinrobles55,1
lgtbi,24,0.7511737089201878,margpuig,1
portodoloquenosune,32,1.644398766700925,mcastellonpp,1
gràcies,22,1.174586225306994,junqueras,1
svcastellet,32,1.76017601760176,adrianadelgadoh,1
gobierno,55,1.2293249888243183,baledmundo,1
besalú,186,3.149339654588554,lluisguino,1
gracias,157,1.1015224864940716,guillermodiazcs,1
exposición,3,2.8846153846153846,mazureque,1
tortosa,200,2.039359641072703,ferran_bel,1
gràcies,189,1.0426435703646495,aurora_madaula,1
años,131,0.9543235958330297,gabrielrufian,1
gobierno,799,1.5395880301366167,odonelorza2011,1
amigo,1,5.263157894736842,davidpsc,1
imparables✊🏿,787,1.072850209935111,compromis,1
bcn,98,0.7294923328867053,g_pisarello,1
do,211,2.1227364185110664,pabloaranguena,1
logroño,32,1.3617021276595744,javier_merino,1
catalunya,35,1.6084558823529411,marc_pares,1
parlament,93,1.4050460794681976,martaribasfrias,1
diu,841,0.7031537406775693,esquerra_erc,1
newsletter,63,1.2673506336753169,argeliaqueralt,1
españa,79,2.076215505913272,jiechaniz,1
gracias,208,1.0334890191791712,eledhmel,1
vox,298,1.490745372686343,j_zaragoza_,1
justicia,66,0.9482758620689655,moromjesus,2
años,8,0.5184705119896306,nachosamor,2
abrazo,1,1.639344262295082,idosagasti,2
gobierno,75,0.7043576258452292,ensanro,2
españa,52,0.6913055038553576,malonsocs,2
gràcies,84,0.6835381235251037,jaumeasens,2
años,3308,0.6251653626639453,20m,2
vecinos,168,1.8447348193697155,albiol_xg,2
gràcies,39,1.948051948051948,aurorasitges,2
»,9722,2.187742610574164,lemondefr,2
that,627,1.5118998818451448,printsandbooks,2
gobierno,23,0.902668759811617,jfrserrano,2
gràcies,37,1.8649193548387097,raulromeva,2
gobierno,399,1.2300388433318947,pablocasado_,2
do,46,0.4883227176220807,nicogoncas,2
laseu,23,1.2266666666666668,oscarordeig,2
nacionalismo,73,0.661231884057971,sergiobarcelona,2
estimamenorca,257,2.3878100901235713,mespermenorca,2
❌,788,1.1098435233306574,ciutadanscs,2
casado,351,2.167335597406607,montesinospablo,2
gobierno,76,0.8921234886723793,pilarmarcosd,2
gobierno,18,1.5817223198594026,migonzalezcaba,2
santcugat,29,0.9437032216075496,muniafj,2
libro,19,0.918762088974855,maximhuerta,2
sempre,11,0.8494208494208495,sergisabria,2
president,88,1.257861635220126,peprierafont,2
educación,103,0.7450810185185185,martamartirio,2
torra,58,0.74435318275154,_martinbarra,2
compromís,21,0.7478632478632479,xaviquinquilla,2
govern,13,0.7575757575757576,santirodriguez,2
política,61,0.6038408235992874,joanmena,2
freetothom,126,2.2340425531914896,jordialapreso,2
españa,2494,0.44025334867924,abc_es,2
justicia,33,2.8301886792452833,jccampm,2
2019,2287,0.5008003608740685,okdiario,2
ciutat,135,0.7771125949804283,joanribo,2
catalunya,42,0.7876969242310577,jordi_orobitg,2
murcia,3,2.2058823529411766,juan_pedreno,2
