Spain,  Deaths (Lexis triangle)	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1910    5      1904     1191.70     1264.48     2456.18
 1910    6      1904      959.95      984.00     1943.95
 1910    6      1903      980.09      971.53     1951.62
 1910    7      1903      690.21      699.90     1390.11
 1910    7      1902      704.69      691.03     1395.72
 1910    8      1902      502.78      516.72     1019.50
 1910    8      1901      513.33      510.18     1023.51
 1910    9      1901      398.66      402.18      800.84
 1910    9      1900      407.02      397.08      804.10
 1910   10      1900      375.37      396.28      771.65
 1910   10      1899      408.27      410.00      818.27
 1910   11      1899      293.28      303.12      596.40
 1910   11      1898      318.99      313.62      632.61
 1910   12      1898      331.20      325.79      656.99
 1910   12      1897      360.23      337.08      697.31
 1910   13      1897      313.92      269.11      583.03
 1910   13      1896      341.44      278.43      619.87
 1910   14      1896      389.29      329.24      718.53
 1910   14      1895      423.41      340.65      764.06
 1910   15      1895      422.37      336.35      758.72
 1910   15      1894      458.47      360.62      819.09
 1910   16      1894      465.13      377.97      843.10
 1910   16      1893      504.89      405.24      910.13
 1910   17      1893      515.10      478.63      993.73
 1910   17      1892      559.13      513.17     1072.30
 1910   18      1892      538.65      567.68     1106.33
 1910   18      1891      584.69      608.64     1193.33
 1910   19      1891      503.57      514.93     1018.50
 1910   19      1890      546.61      552.09     1098.70
 1910   20      1890      619.17      555.01     1174.18
 1910   20      1889      652.47      547.10     1199.57
 1910   21      1889      516.71      537.84     1054.55
 1910   21      1888      544.50      530.18     1074.68
 1910   22      1888      669.92      626.72     1296.64
 1910   22      1887      705.94      617.79     1323.73
 1910   23      1887      595.27      632.78     1228.05
 1910   23      1886      627.28      623.77     1251.05
 1910   24      1886      620.64      560.57     1181.21
 1910   24      1885      654.01      552.58     1206.59
 1910   25      1885      606.40      558.04     1164.44
 1910   25      1884      635.18      540.06     1175.24
 1910   26      1884      604.93      553.46     1158.39
 1910   26      1883      633.65      535.62     1169.27
 1910   27      1883      553.54      494.34     1047.88
 1910   27      1882      579.82      478.41     1058.23
 1910   28      1882      656.81      566.71     1223.52
 1910   28      1881      687.99      548.45     1236.44
 1910   29      1881      474.74      403.62      878.36
 1910   29      1880      497.28      390.62      887.90
 1910   30      1880      794.17      620.17     1414.34
 1910   30      1879      830.21      612.31     1442.52
 1910   31      1879      378.71      362.82      741.53
 1910   31      1878      395.90      358.22      754.12
 1910   32      1878      623.68      520.76     1144.44
 1910   32      1877      651.98      514.16     1166.14
 1910   33      1877      566.36      530.85     1097.21
 1910   33      1876      592.05      524.13     1116.18
 1910   34      1876      618.29      533.38     1151.67
 1910   34      1875      646.34      526.62     1172.96
 1910   35      1875      646.01      551.91     1197.92
 1910   35      1874      683.76      566.25     1250.01
 1910   36      1874      651.37      554.88     1206.25
 1910   36      1873      689.42      569.30     1258.72
 1910   37      1873      469.78      489.05      958.83
 1910   37      1872      497.23      501.75      998.98
 1910   38      1872      631.41      616.26     1247.67
 1910   38      1871      668.30      632.27     1300.57
 1910   39      1871      431.81      425.69      857.50
 1910   39      1870      457.04      436.75      893.79
 1910   40      1870      969.66      868.36     1838.02
 1910   40      1869     1025.49      909.66     1935.15
 1910   41      1869      350.17      415.33      765.50
 1910   41      1868      370.33      435.08      805.41
 1910   42      1868      568.84      675.39     1244.23
 1910   42      1867      601.59      707.51     1309.10
 1910   43      1867      395.46      485.85      881.31
 1910   43      1866      418.23      508.96      927.19
 1910   44      1866      591.73      622.50     1214.23
 1910   44      1865      625.80      652.10     1277.90
 1910   45      1865      636.89      812.24     1449.13
 1910   45      1864      673.83      861.49     1535.32
 1910   46      1864      579.44      654.56     1234.00
 1910   46      1863      613.04      694.25     1307.29
 1910   47      1863      443.10      566.48     1009.58
 1910   47      1862      468.80      600.82     1069.62
 1910   48      1862      625.69      782.55     1408.24
 1910   48      1861      661.99      830.00     1491.99
 1910   49      1861      429.46      620.98     1050.44
 1910   49      1860      454.37      658.63     1113.00
 1910   50      1860     1176.65     1197.44     2374.09
 1910   50      1859     1251.40     1268.52     2519.92
 1910   51      1859      388.01      515.69      903.70
 1910   51      1858      412.66      546.31      958.97
